episode_idx,scene,exit_code,result_dir_exists,measurement_exists,trajectory_rows,return_rows,diagnostic_records,anchor_count,reported_outbound_success,reported_return_success,reported_round_trip_success,strict_final_distance_m,minimum_return_distance_m,strict_return_success,ever_within_3m,entered_then_left_3m,final_stop_gate_decision,stuck_recovery_fired
246,EU6Fwq7SyZv,0,True,True,2367,0,0,17,False,False,False,,,False,False,False,no_return,False
369,QUCTc6BB5sX,0,True,True,1073,0,0,1,False,False,False,,,False,False,False,no_return,False
748,TbHJrupSAjP,0,True,True,2343,0,0,18,False,False,False,,,False,False,False,no_return,False
344,X7HyMhZNoso,0,True,True,2388,438,176,14,True,False,False,9.215822634800858,9.094617325629967,False,False,False,pass,False
951,x8F5xyUWy9e,0,True,True,1,0,0,1,False,False,False,,,False,False,False,no_return,False
484,zsNo4HB9uLZ,0,True,True,1427,327,115,6,True,True,True,1.987332729918278,1.987332729918278,True,True,False,forced,False
929,2azQ1b91cZZ,0,True,True,1327,102,39,5,False,True,False,2.7551272882477145,2.7551272882477145,True,True,False,forced,False
763,EU6Fwq7SyZv,0,True,True,1445,0,0,14,False,False,False,,,False,False,False,no_return,False
502,QUCTc6BB5sX,0,True,True,2502,0,0,17,False,False,False,,,False,False,False,no_return,False
961,TbHJrupSAjP,0,True,True,3002,1377,552,9,True,False,False,3.923596727844936,2.0986471100454622,False,True,True,deferred,False
785,X7HyMhZNoso,0,True,True,6602,5002,2002,10,True,False,False,7.519472371807396,6.903621846804125,False,False,False,pass,True
45,zsNo4HB9uLZ,0,True,True,2502,0,0,14,False,False,False,,,False,False,False,no_return,False
428,2azQ1b91cZZ,0,True,True,1652,327,132,8,True,False,False,3.1069070825419773,3.1069070825419773,False,False,False,forced,False
276,EU6Fwq7SyZv,0,True,True,5227,3277,1312,13,True,False,False,9.408833257101772,7.921088224518968,False,False,False,deferred,True
658,QUCTc6BB5sX,0,True,True,2677,1227,492,10,True,True,True,1.8942333817428065,1.8942333817428065,True,True,False,forced,False
