episode_id	attempts	successes	success_rate	episode_idx	scene	neighbor_idx	neighbor_episode_id	matched_waypoints	mean_distance	baseline_distance_to_start	source_batch
286	4	4	1.0000	189	2azQ1b91cZZ	696	1189	4	0.000000	6.937679	pure_oracle_hint_100ep_20260811
1336	4	4	1.0000	783	X7HyMhZNoso	687	1177	4	0.960138	7.436316	pure_oracle_hint_100ep_20260811
1337	4	4	1.0000	784	X7HyMhZNoso	687	1177	4	0.960138	7.972808	route2_core_development_20260801
1517	4	4	1.0000	889	EU6Fwq7SyZv	276	442	4	1.213044	8.345141	pure_oracle_hint_100ep_20260811
1338	3	3	1.0000	785	X7HyMhZNoso	687	1177	4	0.960138	7.768569	promotion_shadow_30ep_20260728
1713	3	3	1.0000	1004	TbHJrupSAjP	585	1018	4	0.315807	4.023420	pure_oracle_hint_100ep_20260811
1801	3	3	1.0000	1062	2azQ1b91cZZ	930	1579	5	0.278728	9.902829	promotion_shadow_30ep_20260728
126	2	2	1.0000	86	zsNo4HB9uLZ	942	1612	5	0.215112	12.411028	route2_core_development_20260801
428	2	2	1.0000	271	QUCTc6BB5sX	66	94	6	0.244698	15.260509	pure_oracle_hint_100ep_20260811
523	2	2	1.0000	324	TbHJrupSAjP	615	1075	4	1.103096	10.936766	route2_core_development_20260801
798	2	2	1.0000	470	QUCTc6BB5sX	546	943	5	0.662972	10.232210	route2_core_development_20260801
810	2	2	1.0000	479	2azQ1b91cZZ	816	1381	5	0.918991	7.632172	route2_core_development_20260801
899	2	2	1.0000	517	zsNo4HB9uLZ	726	1240	4	0.684778	7.519623	route2_core_development_20260801
922	2	2	1.0000	534	zsNo4HB9uLZ	840	1435	5	0.750029	4.674335	pure_oracle_hint_100ep_20260811
958	2	2	1.0000	555	2azQ1b91cZZ	177	262	5	0.151484	7.823619	route2_core_development_20260801
1137	2	2	1.0000	656	zsNo4HB9uLZ	984	1681	6	0.000000	10.837272	route2_core_development_20260801
1368	2	2	1.0000	806	TbHJrupSAjP	966	1648	5	0.702683	8.977993	route2_core_development_20260801
1379	2	2	1.0000	814	x8F5xyUWy9e	951	1633	4	0.830905	5.487870	rgapoc_vision_20260723
1406	2	2	1.0000	829	TbHJrupSAjP	225	358	5	0.000000	8.322788	route2_core_development_20260801
31	1	1	1.0000	18	x8F5xyUWy9e	135	199	4	1.070148	6.361872	reliability_v11_prospective_capture_shadow_100ep_20260722_accumulated
143	1	1	1.0000	97	QUCTc6BB5sX	855	1462	5	0.000000	4.898193	unified_shadow50_fresh49_retry4_20260730
359	1	1	1.0000	226	TbHJrupSAjP	747	1279	5	0.313656	11.091585	route2_core_locked_validation_20260801
361	1	1	1.0000	228	zsNo4HB9uLZ	990	1690	4	0.000000	10.026331	route2_core_locked_validation_20260801
366	1	1	1.0000	233	2azQ1b91cZZ	132	193	6	0.000000	7.469688	route2_core_locked_validation_20260801
420	1	1	1.0000	266	zsNo4HB9uLZ	639	1108	6	0.000000	12.458868	unified_shadow50_fresh49_retry4_20260730
472	1	1	1.0000	291	TbHJrupSAjP	255	406	6	0.000000	10.362745	route2_core_locked_validation_20260801
494	1	1	1.0000	304	2azQ1b91cZZ	177	262	4	0.712771	7.766384	route2_core_locked_validation_20260801
579	1	1	1.0000	353	QUCTc6BB5sX	105	151	5	0.000000	11.832883	unified_shadow50_fresh49_retry4_20260730
629	1	1	1.0000	376	zsNo4HB9uLZ	534	922	5	1.661286	7.809501	route2_core_locked_validation_20260801
718	1	1	1.0000	426	2azQ1b91cZZ	756	1288	5	0.853292	4.718741	unified_shadow50_fresh49_retry4_20260730
720	1	1	1.0000	428	2azQ1b91cZZ	756	1288	5	0.853292	5.156441	reliability_v11_prospective_capture_shadow_100ep_20260722_accumulated
785	1	1	1.0000	463	QUCTc6BB5sX	657	1138	5	1.651042	8.700310	route2_core_locked_validation_20260801
807	1	1	1.0000	476	2azQ1b91cZZ	144	214	4	1.355172	5.492750	unified_shadow50_fresh49_retry4_20260730
978	1	1	1.0000	566	QUCTc6BB5sX	396	664	4	0.000000	5.330832	unified_shadow50_fresh49_retry4_20260730
1084	1	1	1.0000	621	zsNo4HB9uLZ	771	1321	4	0.444923	3.827381	unified_shadow50_fresh49_retry4_20260730
1117	1	1	1.0000	645	x8F5xyUWy9e	354	583	4	0.475011	8.570651	reliability_v11_prospective_capture_shadow_100ep_20260722_accumulated
1166	1	1	1.0000	679	zsNo4HB9uLZ	612	1069	7	0.000	1.995	oracle_shadow_loftr_v4_30_return_anchor_fix_20260701
1198	1	1	1.0000	705	zsNo4HB9uLZ	0	1	5	0.000000	4.938268	unified_shadow50_fresh49_retry4_20260730
1256	1	1	1.0000	733	2azQ1b91cZZ	111	157	5	1.022231	9.430092	route2_core_locked_validation_20260801
1264	1	1	1.0000	738	2azQ1b91cZZ	183	277	6	0.000000	13.536292	route2_core_locked_validation_20260801
1419	1	1	1.0000	833	TbHJrupSAjP	615	1075	5	0.650377	5.938150	unified_shadow50_fresh49_retry4_20260730
1513	1	1	1.0000	885	QUCTc6BB5sX	462	784	5	0.000000	10.728850	route2_core_locked_validation_20260801
1523	1	1	1.0000	895	zsNo4HB9uLZ	882	1501	4	1.209300	5.070233	route2_core_locked_validation_20260801
1642	1	1	1.0000	960	TbHJrupSAjP	291	472	4	0.315807	6.593922	unified_shadow50_fresh49_retry4_20260730
1699	1	1	1.0000	993	QUCTc6BB5sX	105	151	7	0.000	1.994	oracle_shadow_loftr_v4_30_return_anchor_fix_20260701
1711	1	1	1.0000	1002	TbHJrupSAjP	585	1018	4	0.315807	4.023420	pure_navila_baseline_100ep_20260810
1712	1	1	1.0000	1003	TbHJrupSAjP	585	1018	4	0.315807	4.023420	unified_shadow50_fresh49_retry4_20260730
8	59	58	0.9831	4	x8F5xyUWy9e	354	583	5	0.000000	10.248705	pure_oracle_hint_100ep_20260811
1700	52	51	0.9808	994	QUCTc6BB5sX	105	151	7	0.000000	12.657429	pure_oracle_hint_100ep_20260811
603	48	47	0.9792	368	X7HyMhZNoso	1038	1759	7	0.000000	6.916351	pure_navila_baseline_100ep_20260811
476	17	16	0.9412	295	zsNo4HB9uLZ	45	73	4	0.000000	8.425889	pure_oracle_hint_100ep_20260811
1761	42	39	0.9286	1040	X7HyMhZNoso	366	601	7	0.000000	6.916351	pure_oracle_hint_100ep_20260811
442	11	10	0.9091	276	EU6Fwq7SyZv	888	1516	4	0.261469	11.290769	anchor_v2_full_active_recoveryfix30_rerun2_20260807
719	10	9	0.9000	427	2azQ1b91cZZ	756	1288	5	0.853292	5.156441	line2_50ep_historical_outbound_missing32_20260808
1167	57	50	0.8772	680	zsNo4HB9uLZ	612	1069	7	0.000000	12.981381	pure_oracle_hint_100ep_20260811
32	8	7	0.8750	19	x8F5xyUWy9e	135	199	4	1.070148	6.361872	line2_50ep_historical_outbound_missing32_20260808
853	8	7	0.8750	489	X7HyMhZNoso	1038	1759	6	0.190970	8.881821	line2_50ep_historical_outbound_missing32_20260808
855	8	7	0.8750	491	X7HyMhZNoso	1038	1759	6	0.190970	3.666043	pure_oracle_hint_100ep_20260811
564	6	5	0.8333	344	X7HyMhZNoso	381	634	4	0.677694	11.143211	route2_core_development_20260801
281	66	53	0.8030	187	EU6Fwq7SyZv	447	754	6	0.433000	10.897436	pure_oracle_hint_100ep_20260811
175	5	4	0.8000	123	QUCTc6BB5sX	465	793	5	0.000000	7.752261	line2_50ep_historical_outbound_missing32_20260808
868	16	12	0.7500	498	zsNo4HB9uLZ	222	352	4	0.479000	7.425987	pure_oracle_hint_100ep_20260811
139	8	6	0.7500	93	2azQ1b91cZZ	579	1006	5	0.000000	13.368412	line2_50ep_historical_outbound_missing32_20260808
1134	4	3	0.7500	653	Z6MFQCViBuw	336	547	4	0.000000	7.984009	pure_oracle_hint_100ep_20260811
127	11	8	0.7273	87	EU6Fwq7SyZv	288	460	5	1.348777	4.614529	anchor_v3_active_30ep_20260811
1177	7	5	0.7143	687	X7HyMhZNoso	783	1336	4	0.000000	5.328553	reliability_v11_route2_terminal_recovery_active50_20260727
584	6	4	0.6667	355	x8F5xyUWy9e	3	7	5	0.083086	9.844459	line2_50ep_historical_outbound_missing32_20260808
