bytes	files	directory
3525634860	3817	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_anchor_v2_full_active_recoveryfix30_rerun2_20260807_ep89/icp_replay_dataset
1473770408	1684	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_anchor_v2_full_active_recoveryfix30_rerun2_20260807_ep95/icp_replay_dataset
1427063948	1645	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_anchor_v2_full_active_recoveryfix30_rerun2_20260807_ep961/icp_replay_dataset
1506932947	1736	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_anchor_v2_full_active_recoveryfix30_rerun2_20260807_ep962/icp_replay_dataset
2000206543	2433	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_anchor_v2_full_active_recoveryfix30_rerun2_20260807_ep994/icp_replay_dataset
1440337954	1535	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_anchor_v2_full_active_recovery_smoke_ep4_20260805_ep4/icp_replay_dataset
793843487	841	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_anchor_v2_full_active_semanticfix30_rerun1_20260804_ep1040/icp_replay_dataset
2828497018	3212	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_anchor_v2_full_active_semanticfix30_rerun1_20260804_ep214/icp_replay_dataset
1621786923	1958	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_anchor_v2_full_active_semanticfix30_rerun1_20260804_ep264/icp_replay_dataset
2314238052	2696	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_anchor_v2_full_active_semanticfix30_rerun1_20260804_ep268/icp_replay_dataset
1717987689	1967	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_anchor_v2_full_active_semanticfix30_rerun1_20260804_ep276/icp_replay_dataset
1814869388	2129	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_anchor_v2_full_active_semanticfix30_rerun1_20260804_ep310/icp_replay_dataset
940476105	1142	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_anchor_v2_full_active_semanticfix30_rerun1_20260804_ep351/icp_replay_dataset
3061003715	3564	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_anchor_v2_full_active_semanticfix30_rerun1_20260804_ep367/icp_replay_dataset
1201822658	1272	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_anchor_v2_full_active_semanticfix30_rerun1_20260804_ep427/icp_replay_dataset
4667021619	5083	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_anchor_v2_full_active_semanticfix30_rerun1_20260804_ep484/icp_replay_dataset
1499407031	1573	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_anchor_v2_full_active_semanticfix30_rerun1_20260804_ep4/icp_replay_dataset
303728402	355	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_anchor_v2_full_active_semanticfix30_rerun1_20260804_ep500/icp_replay_dataset
1547125363	1755	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_anchor_v2_full_active_semanticfix30_rerun1_20260804_ep539/icp_replay_dataset
3382807235	3816	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_anchor_v2_full_active_semanticfix30_rerun1_20260804_ep579/icp_replay_dataset
911770223	1062	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_anchor_v2_full_active_semanticfix30_rerun1_20260804_ep5/icp_replay_dataset
866356863	956	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_anchor_v2_full_active_semanticfix30_rerun1_20260804_ep646/icp_replay_dataset
2147886916	2354	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_anchor_v2_full_active_semanticfix30_rerun1_20260804_ep658/icp_replay_dataset
2881807271	3238	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_anchor_v2_full_active_semanticfix30_rerun1_20260804_ep680/icp_replay_dataset
651420752	701	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_anchor_v2_full_active_semanticfix30_rerun1_20260804_ep688/icp_replay_dataset
707502048	791	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_anchor_v2_full_active_semanticfix30_rerun1_20260804_ep815/icp_replay_dataset
3044165056	3312	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_anchor_v2_full_active_semanticfix30_rerun1_20260804_ep844/icp_replay_dataset
1316755895	1467	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_anchor_v2_full_active_semanticfix30_rerun1_20260804_ep888/icp_replay_dataset
800636172	850	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_anchor_v2_full_active_semanticfix30_rerun1_20260804_ep89/icp_replay_dataset
1614083403	1846	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_anchor_v2_full_active_semanticfix30_rerun1_20260804_ep95/icp_replay_dataset
2053400119	2395	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_anchor_v2_full_active_semanticfix30_rerun1_20260804_ep961/icp_replay_dataset
2051732732	2493	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_anchor_v2_full_active_semanticfix30_rerun1_20260804_ep994/icp_replay_dataset
3594685188	1449	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_anchor_v3_active_30ep_20260811_ep134/icp_replay_dataset
3299764510	1233	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_anchor_v3_active_30ep_20260811_ep187/icp_replay_dataset
2580914097	1383	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_anchor_v3_active_30ep_20260811_ep310/icp_replay_dataset
2254479624	1011	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_anchor_v3_active_30ep_20260811_ep4/icp_replay_dataset
2200688556	969	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_anchor_v3_active_30ep_20260811_ep539/icp_replay_dataset
2854602050	1112	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_anchor_v3_active_30ep_20260811_ep579/icp_replay_dataset
2920109496	1203	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_anchor_v3_active_30ep_20260811_ep678/icp_replay_dataset
3136915541	1245	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_anchor_v3_active_30ep_20260811_ep680/icp_replay_dataset
2236048605	822	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_anchor_v3_active_30ep_20260811_ep87/icp_replay_dataset
2905578718	1185	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_anchor_v3_active_30ep_20260811_ep88/icp_replay_dataset
2896928371	1311	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_anchor_v3_active_30ep_20260811_ep994/icp_replay_dataset
2729043731	5003	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_capture_reliability_16ep_20260721_accumulated_ep1038/icp_replay_dataset
454961612	902	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_capture_reliability_16ep_20260721_accumulated_ep20/icp_replay_dataset
2736293423	5003	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_capture_reliability_16ep_20260721_accumulated_ep319/icp_replay_dataset
2957452460	5003	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_capture_reliability_16ep_20260721_accumulated_ep367/icp_replay_dataset
1992643081	3756	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_capture_reliability_16ep_20260721_accumulated_ep498/icp_replay_dataset
525654367	1078	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_capture_reliability_16ep_20260721_accumulated_ep500/icp_replay_dataset
421621130	878	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_capture_reliability_16ep_20260721_accumulated_ep537/icp_replay_dataset
1242135972	2428	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_capture_reliability_16ep_20260721_accumulated_ep5/icp_replay_dataset
2409233589	5003	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_capture_reliability_16ep_20260721_accumulated_ep653/icp_replay_dataset
2635096804	5003	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_capture_reliability_16ep_20260721_accumulated_ep680/icp_replay_dataset
2312103941	4031	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_capture_reliability_16ep_20260721_accumulated_ep813/icp_replay_dataset
1324133092	2778	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_capture_reliability_16ep_20260721_accumulated_ep889/icp_replay_dataset
341293128	701	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_capture_reliability_16ep_20260721_accumulated_ep89/icp_replay_dataset
617500348	1453	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_capture_reliability_16ep_20260721_accumulated_ep994/icp_replay_dataset
674764436	1253	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_icp_replay_capture_hard11_20260706_accumulated_ep1040/icp_replay_dataset
1268870515	2753	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_icp_replay_capture_hard11_20260706_accumulated_ep187/icp_replay_dataset
721994943	1353	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_icp_replay_capture_hard11_20260706_accumulated_ep367/icp_replay_dataset
849793509	1603	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_icp_replay_capture_hard11_20260706_accumulated_ep368/icp_replay_dataset
1181670005	2334	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_icp_replay_capture_hard11_20260706_accumulated_ep408/icp_replay_dataset
653898153	1278	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_icp_replay_capture_hard11_20260706_accumulated_ep4/icp_replay_dataset
904098643	1903	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_icp_replay_capture_hard11_20260706_accumulated_ep5/icp_replay_dataset
899491915	1728	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_icp_replay_capture_hard11_20260706_accumulated_ep678/icp_replay_dataset
976953334	1903	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_icp_replay_capture_hard11_20260706_accumulated_ep680/icp_replay_dataset
808407215	1903	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_icp_replay_capture_hard11_20260706_accumulated_ep994/icp_replay_dataset
5495436300	6020	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_learned_anchor_terminal_replay_shadow_5ep_20260729_ep1008/icp_replay_dataset
1380128610	1681	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_learned_anchor_terminal_replay_shadow_5ep_20260729_ep295/icp_replay_dataset
4914681787	5452	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_learned_anchor_terminal_replay_shadow_5ep_20260729_ep319/icp_replay_dataset
1232709890	1377	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_learned_anchor_terminal_replay_shadow_5ep_20260729_ep498/icp_replay_dataset
4058606869	4532	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_line2_50ep_historical_outbound_missing32_20260808_ep1008/icp_replay_dataset
946791826	1114	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_line2_50ep_historical_outbound_missing32_20260808_ep123/icp_replay_dataset
1965788042	2169	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_line2_50ep_historical_outbound_missing32_20260808_ep19/icp_replay_dataset
4113585719	4796	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_line2_50ep_historical_outbound_missing32_20260808_ep214/icp_replay_dataset
1599403855	1970	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_line2_50ep_historical_outbound_missing32_20260808_ep264/icp_replay_dataset
3541226878	4076	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_line2_50ep_historical_outbound_missing32_20260808_ep276/icp_replay_dataset
4599572579	5444	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_line2_50ep_historical_outbound_missing32_20260808_ep310/icp_replay_dataset
2913462950	3130	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_line2_50ep_historical_outbound_missing32_20260808_ep319/icp_replay_dataset
3478061801	4269	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_line2_50ep_historical_outbound_missing32_20260808_ep344/icp_replay_dataset
3550365149	4047	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_line2_50ep_historical_outbound_missing32_20260808_ep351/icp_replay_dataset
1711015941	1937	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_line2_50ep_historical_outbound_missing32_20260808_ep366/icp_replay_dataset
1475502480	1572	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_line2_50ep_historical_outbound_missing32_20260808_ep427/icp_replay_dataset
1048907814	1273	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_line2_50ep_historical_outbound_missing32_20260808_ep484/icp_replay_dataset
1745871088	1966	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_line2_50ep_historical_outbound_missing32_20260808_ep489/icp_replay_dataset
5450823566	6016	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_line2_50ep_historical_outbound_missing32_20260808_ep490/icp_replay_dataset
1370455828	1545	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_line2_50ep_historical_outbound_missing32_20260808_ep539/icp_replay_dataset
1243878531	1431	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_line2_50ep_historical_outbound_missing32_20260808_ep579/icp_replay_dataset
2150689945	2483	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_line2_50ep_historical_outbound_missing32_20260808_ep581/icp_replay_dataset
3719870648	4361	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_line2_50ep_historical_outbound_missing32_20260808_ep646/icp_replay_dataset
1342801160	1484	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_line2_50ep_historical_outbound_missing32_20260808_ep658/icp_replay_dataset
4261745651	4856	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_line2_50ep_historical_outbound_missing32_20260808_ep669/icp_replay_dataset
299165002	305	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_line2_50ep_historical_outbound_missing32_20260808_ep784/icp_replay_dataset
5346209255	6012	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_line2_50ep_historical_outbound_missing32_20260808_ep815/icp_replay_dataset
1242985650	1362	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_line2_50ep_historical_outbound_missing32_20260808_ep844/icp_replay_dataset
2527268538	2723	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_line2_50ep_historical_outbound_missing32_20260808_ep87/icp_replay_dataset
