frame_index,step,phase,hint,vlm_action,vlm_action_raw,arbitration,terminal_state,distance_to_start
27,135,outbound,,VLM: turn left,The next action is turn left 45 degree.,,,0.149
28,140,outbound,,VLM: turn left,The next action is turn left 45 degree.,,,0.155
29,145,outbound,,VLM: turn left,The next action is turn left 45 degree.,,,0.160
30,150,outbound,,VLM: turn left,The next action is turn left 30 degree.,,,0.162
31,155,outbound,,VLM: turn left,The next action is turn left 30 degree.,,,0.164
32,160,outbound,,VLM: turn left,The next action is turn left 30 degree.,,,0.167
33,165,outbound,,VLM: turn left,The next action is turn left 30 degree.,,,0.172
34,170,outbound,,VLM: turn left,The next action is turn left 30 degree.,,,0.177
35,175,outbound,,VLM: turn left,The next action is turn left 30 degree.,,,0.183
36,180,outbound,,VLM: turn left,The next action is turn left 30 degree.,,,0.188
37,185,outbound,,VLM: turn left,The next action is turn left 30 degree.,,,0.194
38,190,outbound,,VLM: turn left,The next action is turn left 30 degree.,,,0.200
39,195,outbound,,VLM: turn left,The next action is turn left 30 degree.,,,0.204
40,200,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.204
41,205,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.205
42,210,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.215
43,215,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.232
44,220,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.259
45,225,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.284
46,230,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.314
47,235,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.347
48,240,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.379
49,245,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.413
50,250,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.450
51,255,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.485
52,260,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.520
53,265,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.559
54,270,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.595
55,275,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.630
56,280,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.668
57,285,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.708
58,290,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.746
59,295,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.785
60,300,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.826
61,305,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.863
62,310,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.902
63,315,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.942
64,320,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.982
65,325,outbound,,VLM: forward,The next action is move forward 75 cm.,,,1.018
66,330,outbound,,VLM: forward,The next action is move forward 75 cm.,,,1.058
67,335,outbound,,VLM: forward,The next action is move forward 75 cm.,,,1.096
68,340,outbound,,VLM: forward,The next action is move forward 75 cm.,,,1.133
69,345,outbound,,VLM: forward,The next action is move forward 75 cm.,,,1.172
70,350,outbound,,VLM: forward,The next action is move forward 75 cm.,,,1.213
71,355,outbound,,VLM: forward,The next action is move forward 75 cm.,,,1.252
72,360,outbound,,VLM: forward,The next action is move forward 75 cm.,,,1.290
73,365,outbound,,VLM: forward,The next action is move forward 75 cm.,,,1.331
74,370,outbound,,VLM: forward,The next action is move forward 75 cm.,,,1.368
75,375,outbound,,VLM: forward,The next action is move forward 75 cm.,,,1.406
76,380,outbound,,VLM: forward,The next action is move forward 75 cm.,,,1.447
77,385,outbound,,VLM: forward,The next action is move forward 75 cm.,,,1.487
78,390,outbound,,VLM: forward,The next action is move forward 75 cm.,,,1.524
79,395,outbound,,VLM: forward,The next action is move forward 75 cm.,,,1.564
80,400,outbound,,VLM: forward,The next action is move forward 75 cm.,,,1.605
81,405,outbound,,VLM: forward,The next action is move forward 75 cm.,,,1.643
82,410,outbound,,VLM: forward,The next action is move forward 75 cm.,,,1.681
83,415,outbound,,VLM: forward,The next action is move forward 75 cm.,,,1.723
84,420,outbound,,VLM: forward,The next action is move forward 75 cm.,,,1.763
85,425,outbound,,VLM: forward,The next action is move forward 75 cm.,,,1.801
86,430,outbound,,VLM: forward,The next action is move forward 75 cm.,,,1.843
87,435,outbound,,VLM: forward,The next action is move forward 75 cm.,,,1.881
88,440,outbound,,VLM: forward,The next action is move forward 75 cm.,,,1.919
89,445,outbound,,VLM: forward,The next action is move forward 75 cm.,,,1.959
90,450,outbound,,VLM: forward,The next action is move forward 75 cm.,,,2.000
91,455,outbound,,VLM: forward,The next action is move forward 75 cm.,,,2.040
92,460,outbound,,VLM: forward,The next action is move forward 75 cm.,,,2.079
93,465,outbound,,VLM: forward,The next action is move forward 75 cm.,,,2.121
94,470,outbound,,VLM: forward,The next action is move forward 75 cm.,,,2.160
95,475,outbound,,VLM: forward,The next action is move forward 75 cm.,,,2.199
96,480,outbound,,VLM: forward,The next action is move forward 75 cm.,,,2.241
97,485,outbound,,VLM: forward,The next action is move forward 75 cm.,,,2.284
98,490,outbound,,VLM: forward,The next action is move forward 75 cm.,,,2.323
99,495,outbound,,VLM: forward,The next action is move forward 75 cm.,,,2.366
100,500,outbound,,VLM: forward,The next action is move forward 75 cm.,,,2.406
101,505,outbound,,VLM: forward,The next action is move forward 75 cm.,,,2.446
102,510,outbound,,VLM: forward,The next action is move forward 75 cm.,,,2.488
103,515,outbound,,VLM: forward,The next action is move forward 75 cm.,,,2.532
104,520,outbound,,VLM: forward,The next action is move forward 75 cm.,,,2.573
105,525,outbound,,VLM: forward,The next action is move forward 75 cm.,,,2.616
106,530,outbound,,VLM: forward,The next action is move forward 75 cm.,,,2.660
107,535,outbound,,VLM: forward,The next action is move forward 75 cm.,,,2.699
108,540,outbound,,VLM: forward,The next action is move forward 75 cm.,,,2.738
109,545,outbound,,VLM: forward,The next action is move forward 75 cm.,,,2.779
110,550,outbound,,VLM: forward,The next action is move forward 75 cm.,,,2.821
111,555,outbound,,VLM: forward,The next action is move forward 75 cm.,,,2.858
112,560,outbound,,VLM: forward,The next action is move forward 75 cm.,,,2.901
113,565,outbound,,VLM: forward,The next action is move forward 75 cm.,,,2.940
114,570,outbound,,VLM: forward,The next action is move forward 75 cm.,,,2.979
115,575,outbound,,VLM: forward,The next action is move forward 75 cm.,,,3.019
116,580,outbound,,VLM: forward,The next action is move forward 75 cm.,,,3.061
117,585,outbound,,VLM: forward,The next action is move forward 75 cm.,,,3.100
118,590,outbound,,VLM: forward,The next action is move forward 75 cm.,,,3.141
119,595,outbound,,VLM: forward,The next action is move forward 75 cm.,,,3.184
120,600,outbound,,VLM: forward,The next action is move forward 75 cm.,,,3.223
121,605,outbound,,VLM: forward,The next action is move forward 75 cm.,,,3.262
122,610,outbound,,VLM: forward,The next action is move forward 75 cm.,,,3.304
123,615,outbound,,VLM: forward,The next action is move forward 75 cm.,,,3.345
124,620,outbound,,VLM: forward,The next action is move forward 75 cm.,,,3.384
125,625,outbound,,VLM: forward,The next action is move forward 75 cm.,,,3.425
126,630,outbound,,VLM: forward,The next action is move forward 75 cm.,,,3.465
127,635,outbound,,VLM: forward,The next action is move forward 75 cm.,,,3.505
128,640,outbound,,VLM: forward,The next action is move forward 75 cm.,,,3.548
129,645,outbound,,VLM: forward,The next action is move forward 75 cm.,,,3.589
130,650,outbound,,VLM: forward,The next action is move forward 75 cm.,,,3.629
131,655,outbound,,VLM: forward,The next action is move forward 75 cm.,,,3.671
132,660,outbound,,VLM: forward,The next action is move forward 75 cm.,,,3.714
133,665,outbound,,VLM: forward,The next action is move forward 75 cm.,,,3.753
134,670,outbound,,VLM: forward,The next action is move forward 75 cm.,,,3.792
135,675,outbound,,VLM: forward,The next action is move forward 75 cm.,,,3.835
136,680,outbound,,VLM: forward,The next action is move forward 75 cm.,,,3.878
137,685,outbound,,VLM: forward,The next action is move forward 75 cm.,,,3.919
138,690,outbound,,VLM: forward,The next action is move forward 75 cm.,,,3.962
139,695,outbound,,VLM: forward,The next action is move forward 75 cm.,,,4.001
140,700,outbound,,VLM: forward,The next action is move forward 75 cm.,,,4.042
141,705,outbound,,VLM: forward,The next action is move forward 75 cm.,,,4.085
142,710,outbound,,VLM: forward,The next action is move forward 75 cm.,,,4.129
143,715,outbound,,VLM: forward,The next action is move forward 75 cm.,,,4.169
144,720,outbound,,VLM: forward,The next action is move forward 75 cm.,,,4.215
145,725,outbound,,VLM: turn right,The next action is turn right 15 degree.,,,4.255
146,730,outbound,,VLM: turn right,The next action is turn right 15 degree.,,,4.289
147,735,outbound,,VLM: turn right,The next action is turn right 15 degree.,,,4.306
148,740,outbound,,VLM: turn right,The next action is turn right 15 degree.,,,4.313
149,745,outbound,,VLM: turn right,The next action is turn right 15 degree.,,,4.318
150,750,outbound,,VLM: turn right,The next action is turn right 15 degree.,,,4.320
151,755,outbound,,VLM: turn right,The next action is turn right 15 degree.,,,4.326
152,760,outbound,,VLM: turn right,The next action is turn right 15 degree.,,,4.331
153,765,outbound,,VLM: turn right,The next action is turn right 15 degree.,,,4.337
154,770,outbound,,VLM: turn right,The next action is turn right 15 degree.,,,4.343
155,775,outbound,,VLM: forward,The next action is move forward 75 cm.,,,4.347
156,780,outbound,,VLM: forward,The next action is move forward 75 cm.,,,4.357
157,785,outbound,,VLM: forward,The next action is move forward 75 cm.,,,4.383
158,790,outbound,,VLM: forward,The next action is move forward 75 cm.,,,4.420
159,795,outbound,,VLM: forward,The next action is move forward 75 cm.,,,4.459
160,800,outbound,,VLM: forward,The next action is move forward 75 cm.,,,4.499
161,805,outbound,,VLM: forward,The next action is move forward 75 cm.,,,4.542
162,810,outbound,,VLM: forward,The next action is move forward 75 cm.,,,4.580
163,815,outbound,,VLM: forward,The next action is move forward 75 cm.,,,4.619
164,820,outbound,,VLM: forward,The next action is move forward 75 cm.,,,4.662
165,825,outbound,,VLM: forward,The next action is move forward 75 cm.,,,4.706
166,830,outbound,,VLM: forward,The next action is move forward 75 cm.,,,4.746
167,835,outbound,,VLM: forward,The next action is move forward 75 cm.,,,4.789
168,840,outbound,,VLM: forward,The next action is move forward 75 cm.,,,4.828
169,845,outbound,,VLM: forward,The next action is move forward 75 cm.,,,4.867
170,850,outbound,,VLM: forward,The next action is move forward 75 cm.,,,4.910
171,855,outbound,,VLM: forward,The next action is move forward 75 cm.,,,4.952
172,860,outbound,,VLM: forward,The next action is move forward 75 cm.,,,4.990
173,865,outbound,,VLM: forward,The next action is move forward 75 cm.,,,5.031
174,870,outbound,,VLM: forward,The next action is move forward 75 cm.,,,5.068
175,875,outbound,,VLM: forward,The next action is move forward 75 cm.,,,5.104
176,880,outbound,,VLM: forward,The next action is move forward 75 cm.,,,5.144
177,885,outbound,,VLM: forward,The next action is move forward 75 cm.,,,5.191
178,890,outbound,,VLM: forward,The next action is move forward 75 cm.,,,5.233
179,895,outbound,,VLM: forward,The next action is move forward 75 cm.,,,5.276
180,900,outbound,,VLM: forward,The next action is move forward 75 cm.,,,5.318
181,905,outbound,,VLM: forward,The next action is move forward 75 cm.,,,5.356
182,910,outbound,,VLM: forward,The next action is move forward 75 cm.,,,5.396
183,915,outbound,,VLM: forward,The next action is move forward 75 cm.,,,5.440
184,920,outbound,,VLM: forward,The next action is move forward 75 cm.,,,5.477
185,925,outbound,,VLM: forward,The next action is move forward 75 cm.,,,5.519
186,930,outbound,,VLM: forward,The next action is move forward 75 cm.,,,5.557
187,935,outbound,,VLM: forward,The next action is move forward 75 cm.,,,5.594
188,940,outbound,,VLM: forward,The next action is move forward 75 cm.,,,5.634
189,945,outbound,,VLM: forward,The next action is move forward 75 cm.,,,5.678
190,950,outbound,,VLM: forward,The next action is move forward 75 cm.,,,5.716
191,955,outbound,,VLM: forward,The next action is move forward 75 cm.,,,5.756
192,960,outbound,,VLM: forward,The next action is move forward 75 cm.,,,5.798
193,965,outbound,,VLM: forward,The next action is move forward 75 cm.,,,5.837
194,970,outbound,,VLM: forward,The next action is move forward 75 cm.,,,5.876
195,975,outbound,,VLM: forward,The next action is move forward 75 cm.,,,5.919
196,980,outbound,,VLM: forward,The next action is move forward 75 cm.,,,5.960
197,985,outbound,,VLM: forward,The next action is move forward 75 cm.,,,5.999
198,990,outbound,,VLM: forward,The next action is move forward 75 cm.,,,6.043
199,995,outbound,,VLM: forward,The next action is move forward 75 cm.,,,6.083
200,1000,outbound,,VLM: forward,The next action is move forward 75 cm.,,,6.122
201,1005,outbound,,VLM: forward,The next action is move forward 75 cm.,,,6.163
202,1010,outbound,,VLM: forward,The next action is move forward 75 cm.,,,6.202
203,1015,outbound,,VLM: forward,The next action is move forward 75 cm.,,,6.239
204,1020,outbound,,VLM: forward,The next action is move forward 75 cm.,,,6.277
205,1025,outbound,,VLM: forward,The next action is move forward 75 cm.,,,6.319
206,1030,outbound,,VLM: forward,The next action is move forward 75 cm.,,,6.356
207,1035,outbound,,VLM: forward,The next action is move forward 75 cm.,,,6.391
208,1040,outbound,,VLM: forward,The next action is move forward 75 cm.,,,6.427
209,1045,outbound,,VLM: forward,The next action is move forward 75 cm.,,,6.462
210,1050,outbound,,VLM: forward,The next action is move forward 75 cm.,,,6.493
211,1055,outbound,,VLM: forward,The next action is move forward 75 cm.,,,6.529
212,1060,outbound,,VLM: forward,The next action is move forward 75 cm.,,,6.565
213,1065,outbound,,VLM: forward,The next action is move forward 75 cm.,,,6.599
214,1070,outbound,,VLM: forward,The next action is move forward 75 cm.,,,6.632
215,1075,outbound,,VLM: forward,The next action is move forward 75 cm.,,,6.665
216,1080,outbound,,VLM: forward,The next action is move forward 75 cm.,,,6.696
217,1085,outbound,,VLM: forward,The next action is move forward 75 cm.,,,6.731
218,1090,outbound,,VLM: forward,The next action is move forward 75 cm.,,,6.764
219,1095,outbound,,VLM: forward,The next action is move forward 75 cm.,,,6.801
220,1100,outbound,,VLM: forward,The next action is move forward 75 cm.,,,6.839
221,1105,outbound,,VLM: forward,The next action is move forward 75 cm.,,,6.873
222,1110,outbound,,VLM: forward,The next action is move forward 75 cm.,,,6.911
223,1115,outbound,,VLM: forward,The next action is move forward 75 cm.,,,6.949
224,1120,outbound,,VLM: forward,The next action is move forward 75 cm.,,,6.985
225,1125,outbound,,VLM: forward,The next action is move forward 75 cm.,,,7.025
226,1130,outbound,,VLM: forward,The next action is move forward 75 cm.,,,7.067
227,1135,outbound,,VLM: forward,The next action is move forward 75 cm.,,,7.105
228,1140,outbound,,VLM: forward,The next action is move forward 75 cm.,,,7.146
229,1145,outbound,,VLM: forward,The next action is move forward 75 cm.,,,7.186
230,1150,outbound,,VLM: forward,The next action is move forward 75 cm.,,,7.223
231,1155,outbound,,VLM: forward,The next action is move forward 75 cm.,,,7.262
232,1160,outbound,,VLM: forward,The next action is move forward 75 cm.,,,7.301
233,1165,outbound,,VLM: forward,The next action is move forward 75 cm.,,,7.338
234,1170,outbound,,VLM: forward,The next action is move forward 75 cm.,,,7.375
235,1175,outbound,,VLM: forward,The next action is move forward 75 cm.,,,7.415
236,1180,outbound,,VLM: forward,The next action is move forward 75 cm.,,,7.452
237,1185,outbound,,VLM: forward,The next action is move forward 75 cm.,,,7.488
238,1190,outbound,,VLM: forward,The next action is move forward 75 cm.,,,7.528
239,1195,outbound,,VLM: forward,The next action is move forward 75 cm.,,,7.567
240,1200,outbound,,VLM: forward,The next action is move forward 75 cm.,,,7.601
241,1205,outbound,,VLM: forward,The next action is move forward 75 cm.,,,7.640
242,1210,outbound,,VLM: forward,The next action is move forward 75 cm.,,,7.678
243,1215,outbound,,VLM: forward,The next action is move forward 75 cm.,,,7.714
244,1220,outbound,,VLM: forward,The next action is move forward 75 cm.,,,7.751
245,1225,outbound,,VLM: forward,The next action is move forward 75 cm.,,,7.790
246,1230,outbound,,VLM: forward,The next action is move forward 75 cm.,,,7.828
247,1235,outbound,,VLM: forward,The next action is move forward 75 cm.,,,7.862
248,1240,outbound,,VLM: forward,The next action is move forward 75 cm.,,,7.901
249,1245,outbound,,VLM: forward,The next action is move forward 75 cm.,,,7.937
250,1250,outbound,,VLM: forward,The next action is move forward 75 cm.,,,7.973
251,1255,outbound,,VLM: forward,The next action is move forward 75 cm.,,,8.012
252,1260,outbound,,VLM: forward,The next action is move forward 75 cm.,,,8.050
253,1265,outbound,,VLM: forward,The next action is move forward 75 cm.,,,8.085
254,1270,outbound,,VLM: forward,The next action is move forward 75 cm.,,,8.122
255,1275,outbound,,VLM: forward,The next action is move forward 75 cm.,,,8.160
256,1280,outbound,,VLM: forward,The next action is move forward 75 cm.,,,8.196
257,1285,outbound,,VLM: forward,The next action is move forward 75 cm.,,,8.232
258,1290,outbound,,VLM: forward,The next action is move forward 75 cm.,,,8.270
259,1295,outbound,,VLM: forward,The next action is move forward 75 cm.,,,8.308
260,1300,outbound,,VLM: forward,The next action is move forward 75 cm.,,,8.342
261,1305,outbound,,VLM: forward,The next action is move forward 75 cm.,,,8.381
262,1310,outbound,,VLM: forward,The next action is move forward 75 cm.,,,8.417
263,1315,outbound,,VLM: forward,The next action is move forward 75 cm.,,,8.452
264,1320,outbound,,VLM: forward,The next action is move forward 75 cm.,,,8.490
265,1325,outbound,,VLM: forward,The next action is move forward 75 cm.,,,8.529
266,1330,outbound,,VLM: forward,The next action is move forward 75 cm.,,,8.565
267,1335,outbound,,VLM: forward,The next action is move forward 75 cm.,,,8.602
268,1340,outbound,,VLM: forward,The next action is move forward 75 cm.,,,8.641
269,1345,outbound,,VLM: forward,The next action is move forward 75 cm.,,,8.677
270,1350,outbound,,VLM: forward,The next action is move forward 75 cm.,,,8.714
271,1355,outbound,,VLM: forward,The next action is move forward 75 cm.,,,8.752
272,1360,outbound,,VLM: forward,The next action is move forward 75 cm.,,,8.790
273,1365,outbound,,VLM: forward,The next action is move forward 75 cm.,,,8.824
274,1370,outbound,,VLM: forward,The next action is move forward 75 cm.,,,8.862
275,1375,confirm,,VLM: scan,[Confirm] scripted 360-degree scan,,,8.899
276,1380,confirm,,VLM: scan,[Confirm] scripted 360-degree scan,,,8.926
277,1385,confirm,,VLM: scan,[Confirm] scripted 360-degree scan,,,8.938
278,1390,confirm,,VLM: scan,[Confirm] scripted 360-degree scan,,,8.945
279,1395,confirm,,VLM: scan,[Confirm] scripted 360-degree scan,,,8.953
280,1400,confirm,,VLM: scan,[Confirm] scripted 360-degree scan,,,8.961
281,1405,confirm,,VLM: scan,[Confirm] scripted 360-degree scan,,,8.966
282,1410,confirm,,VLM: scan,[Confirm] scripted 360-degree scan,,,8.973
283,1415,confirm,,VLM: scan,[Confirm] scripted 360-degree scan,,,8.981
284,1420,confirm,,VLM: scan,[Confirm] scripted 360-degree scan,,,8.985
285,1425,confirm,,VLM: scan,[Confirm] scripted 360-degree scan,,,8.988
286,1430,confirm,,VLM: scan,[Confirm] scripted 360-degree scan,,,8.992
287,1435,confirm,,VLM: scan,[Confirm] scripted 360-degree scan,,,8.997
288,1440,confirm,,VLM: scan,[Confirm] scripted 360-degree scan,,,9.003
289,1445,confirm,,VLM: scan,[Confirm] scripted 360-degree scan,,,9.009
290,1450,confirm,,VLM: scan,[Confirm] scripted 360-degree scan,,,9.013
291,1455,confirm,,VLM: scan,[Confirm] scripted 360-degree scan,,,9.021
292,1460,confirm,,VLM: scan,[Confirm] scripted 360-degree scan,,,9.026
293,1465,confirm,,VLM: scan,[Confirm] scripted 360-degree scan,,,9.029
294,1470,confirm,,VLM: scan,[Confirm] scripted 360-degree scan,,,9.028
295,1475,confirm,,VLM: scan,[Confirm] scripted 360-degree scan,,,9.030
296,1480,confirm,,VLM: scan,[Confirm] scripted 360-degree scan,,,9.033
297,1485,confirm,,VLM: scan,[Confirm] scripted 360-degree scan,,,9.038
298,1490,confirm,,VLM: scan,[Confirm] scripted 360-degree scan,,,9.042
299,1495,confirm,,VLM: scan,[Confirm] scripted 360-degree scan,,,9.047
300,1500,confirm,,VLM: scan,[Confirm] scripted 360-degree scan,,,9.052
301,1505,confirm,,VLM: scan,[Confirm] scripted 360-degree scan,,,9.053
302,1510,confirm,,VLM: scan,[Confirm] scripted 360-degree scan,,,9.055
303,1515,confirm,,VLM: scan,[Confirm] scripted 360-degree scan,,,9.056
304,1520,confirm,,VLM: scan,[Confirm] scripted 360-degree scan,,,9.058
305,1525,confirm,,VLM: scan,[Confirm] scripted 360-degree scan,,,9.061
306,1530,confirm,,VLM: scan,[Confirm] scripted 360-degree scan,,,9.065
307,1535,confirm,,VLM: scan,[Confirm] scripted 360-degree scan,,,9.069
308,1540,confirm,,VLM: scan,[Confirm] scripted 360-degree scan,,,9.075
309,1545,confirm,,VLM: scan,[Confirm] scripted 360-degree scan,,,9.080
310,1550,confirm,,VLM: scan,[Confirm] scripted 360-degree scan,,,9.082
311,1555,confirm,,VLM: scan,[Confirm] scripted 360-degree scan,,,9.079
312,1560,confirm,,VLM: scan,[Confirm] scripted 360-degree scan,,,9.073
313,1565,confirm,,VLM: scan,[Confirm] scripted 360-degree scan,,,9.070
314,1570,confirm,,VLM: scan,[Confirm] scripted 360-degree scan,,,9.070
315,1575,confirm,,VLM: scan,[Confirm] scripted 360-degree scan,,,9.072
316,1580,confirm,,VLM: scan,[Confirm] scripted 360-degree scan,,,9.076
317,1585,confirm,,VLM: scan,[Confirm] scripted 360-degree scan,,,9.078
318,1590,confirm,,VLM: scan,[Confirm] scripted 360-degree scan,,,9.076
319,1595,confirm,,VLM: scan,[Confirm] scripted 360-degree scan,,,9.072
320,1600,confirm,,VLM: scan,[Confirm] scripted 360-degree scan,,,9.069
321,1605,confirm,,VLM: scan,[Confirm] scripted 360-degree scan,,,9.067
322,1610,confirm,,VLM: scan,[Confirm] scripted 360-degree scan,,,9.065
323,1615,confirm,,VLM: scan,[Confirm] scripted 360-degree scan,,,9.065
324,1620,confirm,,VLM: scan,[Confirm] scripted 360-degree scan,,,9.067
325,1625,confirm,,VLM: scan,[Confirm] scripted 360-degree scan,,,9.070
326,1630,confirm,,VLM: scan,[Confirm] scripted 360-degree scan,,,9.069
327,1635,confirm,,VLM: scan,[Confirm] scripted 360-degree scan,,,9.065
328,1640,confirm,,VLM: scan,[Confirm] scripted 360-degree scan,,,9.059
329,1645,confirm,,VLM: scan,[Confirm] scripted 360-degree scan,,,9.054
330,1650,confirm,,VLM: scan,[Confirm] scripted 360-degree scan,,,9.050
331,1655,confirm,,VLM: scan,[Confirm] scripted 360-degree scan,,,9.047
332,1660,confirm,,VLM: scan,[Confirm] scripted 360-degree scan,,,9.045
333,1665,confirm,,VLM: scan,[Confirm] scripted 360-degree scan,,,9.047
334,1670,confirm,,VLM: scan,[Confirm] scripted 360-degree scan,,,9.045
335,1675,return,[Hint: anchor A10 · 1.2 m · left 52°],VLM: [Return] query NaVILA with return instru,[Return] query NaVILA with return instruction,,,9.041
336,1680,return,[Hint: anchor A10 · 1.2 m · left 52°],VLM: turn left,The next action is turn left 15 degree.,→ EXECUTED,,9.035
337,1685,return,[Hint: anchor A10 · 1.2 m · left 52°],VLM: turn left,The next action is turn left 15 degree.,→ EXECUTED,,9.029
338,1690,return,[Hint: anchor A10 · 1.2 m · left 52°],VLM: turn left,The next action is turn left 15 degree.,→ EXECUTED,,9.024
339,1695,return,[Hint: anchor A10 · 1.2 m · left 52°],VLM: turn left,The next action is turn left 15 degree.,→ EXECUTED,,9.018
340,1700,return,[Hint: anchor A10 · 1.2 m · left 52°],VLM: turn left,The next action is turn left 15 degree.,→ EXECUTED,,9.013
341,1705,return,[Hint: anchor A10 · 1.2 m · left 42°],VLM: turn left,The next action is turn left 15 degree.,→ EXECUTED,,9.010
342,1710,return,[Hint: anchor A10 · 1.2 m · left 42°],VLM: turn left,The next action is turn left 15 degree.,→ EXECUTED,,9.010
343,1715,return,[Hint: anchor A10 · 1.2 m · left 42°],VLM: turn left,The next action is turn left 15 degree.,→ EXECUTED,,9.005
344,1720,return,[Hint: anchor A10 · 1.2 m · left 42°],VLM: turn left,The next action is turn left 15 degree.,→ EXECUTED,,9.000
345,1725,return,[Hint: anchor A10 · 1.2 m · left 42°],VLM: turn left,The next action is turn left 15 degree.,→ EXECUTED,,8.995
346,1730,return,[Hint: anchor A10 · 1.1 m · left 32°],VLM: turn left,The next action is turn left 15 degree.,→ EXECUTED,,8.990
347,1735,return,[Hint: anchor A10 · 1.1 m · left 32°],VLM: turn left,The next action is turn left 15 degree.,→ EXECUTED,,8.985
348,1740,return,[Hint: anchor A10 · 1.1 m · left 32°],VLM: turn left,The next action is turn left 15 degree.,→ EXECUTED,,8.979
349,1745,return,[Hint: anchor A10 · 1.1 m · left 32°],VLM: turn left,The next action is turn left 15 degree.,→ EXECUTED,,8.973
350,1750,return,[Hint: anchor A10 · 1.1 m · left 32°],VLM: turn left,The next action is turn left 15 degree.,→ EXECUTED,,8.969
351,1755,return,[Hint: anchor A10 · 1.1 m · left 22°],VLM: forward,The next action is move forward 75 cm.,→ EXECUTED,,8.960
352,1760,return,[Hint: anchor A10 · 1.1 m · left 22°],VLM: forward,The next action is move forward 75 cm.,→ EXECUTED,,8.931
353,1765,return,[Hint: anchor A10 · 1.1 m · left 22°],VLM: forward,The next action is move forward 75 cm.,→ EXECUTED,,8.894
354,1770,return,[Hint: anchor A10 · 1.1 m · left 22°],VLM: forward,The next action is move forward 75 cm.,→ EXECUTED,,8.852
355,1775,return,[Hint: anchor A10 · 1.1 m · left 22°],VLM: forward,The next action is move forward 75 cm.,→ EXECUTED,,8.812
356,1780,return,[Hint: anchor A10 · 1.1 m · left 22°],VLM: forward,The next action is move forward 75 cm.,→ EXECUTED,,8.769
