episode_idx	episode_id	scene	neighbor_idx	neighbor_episode_id	matched_waypoints	mean_distance	baseline_distance_to_start	length_band	cohort_role	geometry_sha256
1016	1725	QUCTc6BB5sX	387	646	5	1.097586	11.703755	long	fresh_validation	c0275c220abf5a6e0720712c7670b43d80b3b1a14b9847b3752ab66c5ba4be50
130	191	QUCTc6BB5sX	387	646	5	0.942355	9.964979	medium	fresh_validation	841fa5b599dd356ad3bea0caf25b27d8d11f56908f3a6797c677633849916865
470	798	QUCTc6BB5sX	546	943	5	0.662972	8.867121	medium	fresh_validation	3c7def0f78bcd5167741797792bdab3b6ee330657d7ae1034dc3bd923aa55a70
690	1180	QUCTc6BB5sX	396	664	5	0.000000	8.354051	medium	fresh_validation	6c435a3cb5d63c726a05cb40a9368230956e75996fce67e195538b0bc65715d1
97	143	QUCTc6BB5sX	855	1462	5	0.000000	4.898193	short	fresh_validation	cb62e38bad8c26f2619564733eae5242e0db915a148aac3d81336d37e4e60c4f
123	175	QUCTc6BB5sX	465	793	5	0.000000	5.400337	short	fresh_validation	d3a0fa89ee8069d5dd8304150eca6186f6d6aa4c94d2ef00f75cae3a4763dcf8
566	978	QUCTc6BB5sX	396	664	4	0.000000	5.330832	short	fresh_validation	b62ee3ed2c56431b833760367e5903e8ed3443a1ef3b2e0b2613b77df2e6bad7
855	1462	QUCTc6BB5sX	96	142	5	0.000000	4.733160	short	fresh_validation	bad1fe9f27436df26c322a37e4de88c4b5632c5436f97930d9946d9dca9bb7f0
168	253	zsNo4HB9uLZ	165	250	4	0.000000	11.087049	long	fresh_validation	20b3f137b435daece3f5e3dda3d858c003e3d3840021459b7c2d47ac0e9d5623
266	420	zsNo4HB9uLZ	639	1108	6	0.000000	12.458868	long	fresh_validation	a498dd351133543147cbd5a70ef166cb1d75a18fdeaea15e9183461e1150ea23
614	1071	zsNo4HB9uLZ	678	1165	7	0.000000	12.981381	long	fresh_validation	78e0c0724fc2b23254e82a80fc92ee0dc08d16a35396f5bca9c5f58ce1ed4084
86	126	zsNo4HB9uLZ	942	1612	5	0.215112	7.903486	medium	fresh_validation	61dcde2a1ab55a465fd0924f8a46fe4f3ab3415d373a3e037e9329f6c7b2a7e4
656	1137	zsNo4HB9uLZ	984	1681	6	0.000000	8.288276	medium	fresh_validation	fd71b8afea973c7097cae9142dff86aa18d594f520ef2d66146e64c0c9afe810
992	1692	zsNo4HB9uLZ	654	1135	5	0.000000	7.299385	medium	fresh_validation	6ce78bfdc700d3ce07eb64cda8ea64bd9ca8c26c1622c32be6ce4849fed41ca2
517	899	zsNo4HB9uLZ	726	1240	4	0.684778	4.294368	short	fresh_validation	e5eeec04bfc3d425bf50a95c4cff98cb3e2e78ff026318f49242b6f4340bb99e
621	1084	zsNo4HB9uLZ	771	1321	4	0.444923	3.827381	short	fresh_validation	65c396a3a70852788883b5d9b4cfdd13a466219051c4319bae247ce5907c4888
705	1198	zsNo4HB9uLZ	0	1	5	0.000000	4.938268	short	fresh_validation	3bf17083b4a59fb78a67308deb6b3015fea3eae3bcf5f9381a28a3cd3f35baea
667	1151	TbHJrupSAjP	936	1600	5	1.683526	10.925040	long	fresh_validation	ed5eb935e2372c575de7fb5156b14ab8a480a28872982a2c3c1dccaed0e86c0a
806	1368	TbHJrupSAjP	966	1648	5	0.702683	7.293551	medium	fresh_validation	78bcbee8ea7d36164ab4f6266428cae6f9f3d27a15850ef87996a918dc09d96f
960	1642	TbHJrupSAjP	291	472	4	0.315807	6.593922	medium	fresh_validation	f534afbd75cf7d846031513069a00739a9493b60345a8249a92c189400fe8b3b
1001	1710	TbHJrupSAjP	666	1150	5	0.888479	9.166546	medium	fresh_validation	4b756467e29a65bb728e28cf15b7ed4a138319ea54b4edc07e7412374bee0d4f
1056	1789	TbHJrupSAjP	615	1075	4	0.712032	7.765753	medium	fresh_validation	2039165aabcae9470e7ad3cd3d56c1163b4894ce1658bba0c4ebcfcd92e07ff5
802	1364	TbHJrupSAjP	585	1018	5	0.000000	5.952207	short	fresh_validation	c7f56b270068c8fdc7576e7998e6b36e072c910ad4497f1f5781a94872f7fb24
829	1406	TbHJrupSAjP	225	358	5	0.000000	5.167332	short	fresh_validation	310c2164205535c570ae63d53df9aa2a4d88441b20fddd3dc735548e84ebc8fb
833	1419	TbHJrupSAjP	615	1075	5	0.650377	5.938150	short	fresh_validation	96828b963988b715b19b53e5e998cfa91d12c5fced24348e8ae3241a12672150
1003	1712	TbHJrupSAjP	585	1018	4	0.315807	4.023420	short	fresh_validation	ed166a99a585f1b3553dadba9cf284e2a712194a3383ff275356b64a84bade6c
186	280	EU6Fwq7SyZv	447	754	6	0.433051	10.897644	long	fresh_validation	df08263954b16673476fd8dcbf762c613a0b3b34e41c1b735f9b85d3e7295837
246	388	EU6Fwq7SyZv	186	280	5	0.648125	7.258517	medium	fresh_validation	5a48ea492605e478ee5e72f97056207a082d5a92d775856b0288d33dadb7f0fd
449	756	EU6Fwq7SyZv	186	280	6	0.507529	8.969109	medium	fresh_validation	3060745cd6670c102cea74c154db5757d1e20f97ac6f55f714a172fdff072ba3
763	1304	EU6Fwq7SyZv	186	280	5	0.646492	6.983048	medium	fresh_validation	1988dd1e1124e995dcc996bf37a01c9ca6bdf3a7539845b772da95028679e119
343	563	X7HyMhZNoso	381	634	4	0.677694	9.707796	medium	fresh_validation	36984cdae0e1d56afa012c29adf1af031d521b8ed248a301f69276e2b325004f
383	636	X7HyMhZNoso	342	562	4	0.498710	6.710190	medium	fresh_validation	128feedf693146a63e04f9bbb9cab440569bfe71d85debed5b476568d2ef1b9f
1039	1760	X7HyMhZNoso	366	601	7	0.000000	6.916351	medium	fresh_validation	be8716eaf6bb51bad969d0280efe0a8165613bb3df58583e976ac1133623e26e
683	1170	X7HyMhZNoso	366	601	6	0.190970	4.224938	short	fresh_validation	1c3c7048b7769aae439588a764b6026239c6807d505244f1925c997f47fbd3cf
386	642	x8F5xyUWy9e	645	1117	4	0.763060	6.902399	medium	fresh_validation	7aa1315bba430d59349cc6415426d00db7a872d7a503fba8070c90046d631674
136	200	x8F5xyUWy9e	18	31	4	0.000000	4.622848	short	fresh_validation	544f3b53cf722d1fc9cf7cc13b9634017a4f6fb53955269ef5ac3e1def679d9e
336	547	Z6MFQCViBuw	651	1132	4	0.000000	9.215299	medium	fresh_validation	62833e84ec085202e0e5564f68a279043c564189f7d1892842585dbfca879208
