episode_idx	episode_id	scene	exit_code	start_time	end_time	outbound_success	return_success	round_trip_success	distance_to_start	outbound_stop_distance_to_goal
5	9	x8F5xyUWy9e	0	2026-08-16T22:03:24+01:00	2026-08-16T22:36:16+01:00	True	False	False	9.09019660949707	0.2864091396331787
696	1189	2azQ1b91cZZ	0	2026-08-16T22:36:16+01:00	2026-08-16T23:04:34+01:00	True	False	False	3.3909990787506104	2.118361234664917
88	128	EU6Fwq7SyZv	0	2026-08-16T23:04:34+01:00	2026-08-16T23:56:33+01:00	True	False	False	2.2895243167877197	1.2290101051330566
534	922	zsNo4HB9uLZ	0	2026-08-16T23:56:33+01:00	2026-08-17T00:10:27+01:00	True	False	False	10.858264923095703	1.4359257221221924
647	1119	x8F5xyUWy9e	0	2026-08-17T00:10:27+01:00	2026-08-17T00:20:53+01:00	True	True	True	0.8020685911178589	2.1749417781829834
89	129	EU6Fwq7SyZv	0	2026-08-17T00:20:53+01:00	2026-08-17T00:58:37+01:00	True	True	True	2.8063223361968994	2.5040204524993896
268	422	QUCTc6BB5sX	0	2026-08-17T00:58:37+01:00	2026-08-17T01:20:29+01:00	True	True	True	1.5077201128005981	1.1069384813308716
1038	1759	X7HyMhZNoso	0	2026-08-17T01:20:29+01:00	2026-08-17T01:30:51+01:00	True	True	True	0.6050227284431458	1.3097035884857178
205	314	2azQ1b91cZZ	0	2026-08-17T01:30:51+01:00	2026-08-17T01:52:13+01:00	True	False	False	5.710759162902832	1.0178875923156738
671	1155	X7HyMhZNoso	0	2026-08-17T01:52:13+01:00	2026-08-17T02:04:07+01:00	True	True	True	1.6871832609176636	0.18969875574111938
688	1178	X7HyMhZNoso	0	2026-08-17T02:04:08+01:00	2026-08-17T02:10:14+01:00	True	True	True	1.7095321416854858	0.43925026059150696
319	512	2azQ1b91cZZ	0	2026-08-17T02:10:14+01:00	2026-08-17T02:43:37+01:00	True	False	False	3.4318220615386963	0.5894729495048523
264	418	zsNo4HB9uLZ	0	2026-08-17T02:43:38+01:00	2026-08-17T02:57:41+01:00	True	False	False	5.856000900268555	0.9952511787414551
658	1139	QUCTc6BB5sX	0	2026-08-17T02:57:41+01:00	2026-08-17T03:12:20+01:00	True	True	True	2.625495433807373	0.6470323801040649
310	500	QUCTc6BB5sX	0	2026-08-17T03:12:20+01:00	2026-08-17T03:29:10+01:00	True	True	True	2.9838969707489014	0.32580482959747314
351	577	QUCTc6BB5sX	0	2026-08-17T03:29:10+01:00	2026-08-17T03:56:21+01:00	True	True	True	2.327407121658325	0.3288317918777466
539	930	TbHJrupSAjP	0	2026-08-17T03:56:21+01:00	2026-08-17T04:10:24+01:00	True	True	True	1.8308429718017578	1.1882448196411133
581	1008	2azQ1b91cZZ	0	2026-08-17T04:10:24+01:00	2026-08-17T04:43:17+01:00	True	True	True	1.9754136800765991	0.33376240730285645
366	601	X7HyMhZNoso	0	2026-08-17T04:43:17+01:00	2026-08-17T05:17:36+01:00	True	False	False	6.980301380157471	2.4691309928894043
490	854	X7HyMhZNoso	0	2026-08-17T05:17:36+01:00	2026-08-17T05:31:04+01:00	True	True	True	2.126274824142456	0.2791793942451477
888	1516	EU6Fwq7SyZv	0	2026-08-17T05:31:04+01:00	2026-08-17T05:46:58+01:00	True	True	True	1.9290508031845093	0.5595924258232117
815	1380	x8F5xyUWy9e	0	2026-08-17T05:46:58+01:00	2026-08-17T05:55:46+01:00	True	True	True	1.456885814666748	0.7183235883712769
20	33	x8F5xyUWy9e	0	2026-08-17T05:55:46+01:00	2026-08-17T06:00:53+01:00	True	False	False	0.0	0.7486945390701294
813	1378	x8F5xyUWy9e	0	2026-08-17T06:00:53+01:00	2026-08-17T06:15:35+01:00	True	False	False	5.475706100463867	2.1585519313812256
189	286	2azQ1b91cZZ	0	2026-08-17T06:15:35+01:00	2026-08-17T06:30:10+01:00	True	True	True	1.8326369524002075	1.929379940032959
783	1336	X7HyMhZNoso	0	2026-08-17T06:30:10+01:00	2026-08-17T06:34:16+01:00	True	False	False	4.09625768661499	0.6689324378967285
784	1337	X7HyMhZNoso	0	2026-08-17T06:34:16+01:00	2026-08-17T06:43:52+01:00	True	False	False	3.054293394088745	0.9869319200515747
785	1338	X7HyMhZNoso	0	2026-08-17T06:43:52+01:00	2026-08-17T06:56:40+01:00	True	False	False	3.7350640296936035	0.7177621722221375
1004	1713	TbHJrupSAjP	0	2026-08-17T06:56:40+01:00	2026-08-17T06:58:47+01:00	False	True	False	1.0126945972442627	3.8766279220581055
1062	1801	2azQ1b91cZZ	0	2026-08-17T06:58:47+01:00	2026-08-17T07:12:10+01:00	True	False	False	3.5088675022125244	0.25475603342056274
86	126	zsNo4HB9uLZ	0	2026-08-17T07:12:10+01:00	2026-08-17T07:25:48+01:00	True	True	True	1.9955848455429077	1.6447391510009766
271	428	QUCTc6BB5sX	0	2026-08-17T07:25:48+01:00	2026-08-17T07:39:50+01:00	True	False	False	17.91063117980957	0.7018756866455078
479	810	2azQ1b91cZZ	0	2026-08-17T07:39:50+01:00	2026-08-17T07:51:04+01:00	True	True	True	1.4604363441467285	0.18745797872543335
656	1137	zsNo4HB9uLZ	0	2026-08-17T07:51:05+01:00	2026-08-17T08:03:24+01:00	True	False	False	6.118305206298828	1.1749876737594604
