episode_idx	episode_id	exit_code	outbound_success	return_success	round_trip_success	in_cohort	parse_failure	return_start_step	n_return_decision_steps	n_bearing_conf_missing	r_bearing_withheld	r_bearing_withheld_pct	r_bearing_conf_median	r_bearing_conf_in_085_090	reason_vlm_action_consistent	reason_occupied_in_local_map_path	reason_vlm_conflicts_with_clear_hint	reason_target_too_close	reason_low_relocalization_confidence	reason_v11_consumer_v2_blocked	override_true	override_rate	n_stop_gate_decision_steps	stop_gate_accepted	stop_gate_vetoed	stop_gate_deferred	stop_gate_forced	stop_gate_pass	r_distance_withheld_pct	deferred_low_conf	deferred_high_conf	anchor_promotion_total	anchor_promotion_withheld	route_hint_v11_total	route_hint_v11_withheld	final_stop_gate_decision	terminal_classification
696	1189	0	True	False	False	True		1550	44	0	40	90.9090909090909	0.40880729909986263	0	1	0	2	4	37	0	2	0.045454545454545456	1	0	0	1	0	43	100.0	1	0	6	3	42	39	deferred	vlm_stop_accepted
88	128	0	True	False	False	True		1750	69	0	55	79.71014492753623	0.7118297752793468	6	8	3	1	1	55	1	1	0.014492753623188406	0	0	0	0	0	69		0	0	3	0	69	64	pass	timeout_or_other
534	922	0	True	False	False	True		2000	21	0	17	80.95238095238095	0.5439095280175756	0	1	1	1	1	17	0	1	0.047619047619047616	1	0	0	1	0	20	100.0	1	0	4	0	21	18	deferred	vlm_stop_accepted
647	1119	0	True	True	True	True		1250	11	0	4	36.36363636363637	1.0	0	2	0	1	4	4	0	1	0.09090909090909091	1	0	0	1	0	10	100.0	1	0	5	0	11	4	deferred	vlm_stop_accepted
89	129	0	True	True	True	True		1025	48	0	45	93.75	0.5791255567358653	0	1	2	0	0	45	0	0	0.0	1	0	0	1	0	47	100.0	1	0	23	23	48	45	deferred	vlm_stop_accepted
268	422	0	True	True	True	True		1925	37	0	24	64.86486486486487	0.5279018258504785	0	11	0	2	0	24	0	2	0.05405405405405406	1	0	0	0	1	36	0.0	0	0	8	0	31	17	forced	forced_no_vlm_stop
1038	1759	0	True	True	True	True		2200	29	0	16	55.172413793103445	0.6986837664001724	0	12	1	0	0	16	0	0	0.0	1	0	0	1	0	28	100.0	0	1	7	0	16	2	deferred	vlm_stop_accepted
205	314	0	True	False	False	True		1875	30	0	24	80.0	0.5136017322363938	0	2	1	3	0	24	0	3	0.1	1	0	0	1	0	29	100.0	0	1	5	0	18	12	deferred	vlm_stop_accepted
671	1155	0	True	True	True	True		1525	24	0	5	20.833333333333332	1.0	1	6	1	5	7	5	0	5	0.20833333333333334	1	0	0	0	1	23	0.0	0	0	9	3	24	6	forced	forced_no_vlm_stop
688	1178	0	True	True	True	True		1150	14	0	8	57.142857142857146	0.7203435353901697	0	2	2	0	2	8	0	0	0.0	1	0	0	1	0	13	100.0	0	1	0	0	14	8	deferred	vlm_stop_accepted
319	512	0	True	False	False	True		1450	128	0	111	86.71875	0.2	1	2	7	7	3	108	1	7	0.0546875	0	0	0	0	0	128		0	0	1	0	28	12	pass	timeout_or_other
264	418	0	True	False	False	True		1975	14	0	10	71.42857142857143	0.654681632683302	0	1	0	2	3	8	0	2	0.14285714285714285	1	0	0	1	0	13	100.0	0	1	19	14	14	9	deferred	vlm_stop_accepted
658	1139	0	True	True	True	True		1450	38	0	33	86.84210526315789	0.5531239284948312	2	3	1	1	1	32	0	1	0.02631578947368421	1	0	0	1	0	37	100.0	0	1	5	0	24	18	deferred	vlm_stop_accepted
310	500	0	True	True	True	True		1575	34	0	26	76.47058823529412	0.5990654740871404	3	3	1	2	3	25	0	2	0.058823529411764705	1	0	0	1	0	33	100.0	0	1	17	14	34	28	deferred	vlm_stop_accepted
351	577	0	True	True	True	True		2600	35	0	26	74.28571428571429	0.4452625739698608	1	3	0	5	1	26	0	5	0.14285714285714285	1	0	0	1	0	34	100.0	1	0	20	13	28	18	deferred	vlm_stop_accepted
539	930	0	True	True	True	True		1675	29	0	23	79.3103448275862	0.2	0	3	0	2	1	23	0	2	0.06896551724137931	1	0	0	1	0	28	100.0	1	0	5	0	14	8	deferred	vlm_stop_accepted
581	1008	0	True	True	True	True		2350	42	0	30	71.42857142857143	0.559177413485789	0	8	0	4	0	30	0	4	0.09523809523809523	1	0	0	0	1	41	0.0	0	0	11	2	42	27	forced	forced_no_vlm_stop
366	601	0	True	False	False	True		2100	71	0	64	90.14084507042253	0.6054408001436424	2	3	0	4	3	61	0	4	0.056338028169014086	0	0	0	0	0	71		0	0	43	41	71	58	pass	timeout_or_other
490	854	0	True	True	True	True		2075	26	0	13	50.0	0.921794391161866	1	7	2	3	0	13	1	3	0.11538461538461539	1	1	0	0	0	25	0.0	0	0	7	0	26	16	accepted	vlm_stop_accepted
888	1516	0	True	True	True	True		1575	22	0	7	31.818181818181817	1.0	0	7	2	5	3	5	0	5	0.22727272727272727	1	1	0	0	0	21	0.0	0	0	10	0	22	6	accepted	vlm_stop_accepted
815	1380	0	True	True	True	True		1500	16	0	5	31.25	1.0	0	3	2	2	4	5	0	2	0.125	1	0	0	1	0	15	100.0	1	0	1	0	16	5	deferred	vlm_stop_accepted
20	33	0	True	False	False	True		1500	9	0	8	88.88888888888889	0.58808399967545	0	0	0	1	1	7	0	1	0.1111111111111111	0	0	0	0	0	9		0	0	0	0	9	8	pass	timeout_or_other
813	1378	0	True	False	False	True		1250	29	0	22	75.86206896551724	0.5763375764945522	0	3	1	2	1	22	0	2	0.06896551724137931	1	0	0	1	0	28	100.0	1	0	1	0	29	24	deferred	vlm_stop_accepted
189	286	0	True	True	True	True		1750	23	0	14	60.869565217391305	0.37882300768978894	0	4	0	3	2	14	0	3	0.13043478260869565	1	0	0	1	0	22	100.0	1	0	6	0	13	4	deferred	vlm_stop_accepted
783	1336	0	True	False	False	True		1525	13	0	5	38.46153846153846	1.0	0	6	1	0	1	5	0	0	0.0	1	0	0	1	0	12	100.0	1	0	5	0	13	5	deferred	vlm_stop_accepted
784	1337	0	True	False	False	True		1525	28	0	11	39.285714285714285	1.0	0	6	5	4	2	11	0	4	0.14285714285714285	1	0	0	1	0	27	100.0	0	1	2	0	28	15	deferred	vlm_stop_accepted
785	1338	0	True	False	False	True		1600	44	0	16	36.36363636363637	1.0	0	9	5	0	6	15	9	0	0.0	1	0	0	1	0	43	100.0	1	0	10	7	44	35	deferred	vlm_stop_accepted
1004	1713	0	False	True	False	False	outbound_success=False, not in Return-phase cohort																														
1062	1801	0	True	False	False	True		1950	23	0	17	73.91304347826087	0.5150500603688646	0	3	2	0	2	16	0	0	0.0	1	0	0	1	0	22	100.0	1	0	33	29	23	12	deferred	vlm_stop_accepted
86	126	0	True	True	True	True		2400	26	0	12	46.15384615384615	1.0	1	4	6	3	2	11	0	3	0.11538461538461539	5	0	4	1	0	21	20.0	0	1	4	0	26	12	deferred	vlm_stop_accepted
271	428	0	True	False	False	True		2375	18	0	18	100.0	0.27754133281731375	0	0	0	0	2	16	0	0	0.0	1	0	0	1	0	17	100.0	1	0	16	16	15	15	deferred	vlm_stop_accepted
479	810	0	True	True	True	True		1700	19	0	11	57.89473684210526	0.6322040824020434	0	6	2	0	0	11	0	0	0.0	1	1	0	0	0	18	0.0	0	0	6	0	19	11	accepted	vlm_stop_accepted
656	1137	0	True	False	False	True		1950	18	0	12	66.66666666666667	0.6927348752052357	0	2	0	3	1	12	0	3	0.16666666666666666	1	0	0	1	0	17	100.0	0	1	4	0	18	12	deferred	vlm_stop_accepted
